Heiss_Region,Heiss_Region_Definition,Heiss_Category,Siletti_RegionsThatMap,Siletti_RegionsExpanded,SilettiROIGroupCoarse,Match_Quality,Boundary_Ambiguity_Flag,Definition_Confidence,Notes,Source_URLs
Nucleus accumbens,Nucleus accumbens / ventral striatal region.,Subcortical (basal nuclei),Human NAC,NAC = Nucleus accumbens (Basal nuclei / ventral striatum),Cerebral nuclei,Good,GREEN,High,Direct 1-to-1 match.,https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Pallidum,Globus pallidus; Heiss reports whole pallidum rather than internal/external segments.,Subcortical (basal nuclei),Human GPe; Human GPi; Human Gpe,GPe = External segment of globus pallidus (Basal nuclei); GPi = Internal segment of globus pallidus (Basal nuclei); Gpe = External segment of globus pallidus (Basal nuclei; case-variant of GPe in the spreadsheet),Cerebral nuclei,Coarse-OK,GREEN,Moderate,Heiss reports whole pallidum; Siletti splits into GPe/GPi (and a duplicate 'Gpe' row). Sum or average Siletti subdivisions to compare.,https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Nucleus medial thalami,Medial thalamic nucleus/nuclei; Heiss does not enumerate finer thalamic subnuclei.,Subcortical (thalamus),Human MD; Human MD-Re,MD = Mediodorsal nucleus of thalamus (Medial nuclear complex of thalamus); MD-Re = Mediodorsal plus reuniens nuclei of thalamus (Medial nuclear complex; mediodorsal nucleus plus reuniens/medioventral nucleus),Thalamus,Coarse-OK,YELLOW,High,"Likely maps to mediodorsal/medial thalamic Siletti labels MD and MD-Re, but Heiss reports 'nucleus medial thalami' without enumerating thalamic subnuclei. Confirm against the stereotactic atlas conventions if this row is high leverage.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Corpus geniculatum laterale,Lateral geniculate nucleus/body of thalamus.,Subcortical (thalamus posterior),Human LG,LG = Lateral geniculate nucleus/body (Posterior thalamus; visual relay nucleus),Thalamus,Good,GREEN,High,LGN - direct 1-to-1 match.,https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Corpus geniculatum mediale,Medial geniculate nucleus/body of thalamus.,Subcortical (thalamus posterior),Human MG,MG = Medial geniculate nucleus/body (Posterior thalamus; auditory relay nucleus),Thalamus,Good,GREEN,High,MGN - direct 1-to-1 match.,https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Nucleus subthalamicus,Subthalamic nucleus.,Subcortical (subthalamic),Human STH,STH = Subthalamic nucleus (Subthalamic/diencephalic region; listed under thalamus in HCA hierarchy),Thalamus in Siletti; anatomical subthalamus/diencephalon,Good,YELLOW,High,"Direct STH match, but note the nomenclature mismatch: Siletti's coarse group places STH under Thalamus, whereas Heiss groups subthalamic nucleus with diencephalic structures rather than thalamus proper. Keep STH as its own subthalamic/diencephalic row, not as part of Heiss medial thalamus.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Basal forebrain,Basal forebrain VOI; Heiss links this to the nucleus basalis of Meynert but does not enumerate exact VOI composition.,Subcortical (basal forebrain),Human SI; Human SEP,SI = Substantia innominata and nearby nuclei (Basal forebrain); SEP = Septal nuclei (Basal forebrain; septal nuclear complex),Cerebral nuclei,Coarse-OK,YELLOW,High,"Mapping SI plus SEP to Heiss basal forebrain is defensible but not fully specified by Heiss. Heiss links basal forebrain to nucleus basalis of Meynert and cites Mesulam et al. for basal forebrain cholinergic components including septal area, diagonal band, nucleus basalis/substantia innominata, and hypothalamus. Heiss does not enumerate the exact VOI composition.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Corpus amygdaloideum,Amygdaloid body / amygdala.,Subcortical (amygdala),Human BL; Human BM; Human CEN; Human CMN; Human CoA; Human La,BL = Basolateral amygdaloid nuclear complex (Amygdaloid complex; basolateral nuclear group / basal nucleus); BM = Basomedial / accessory basal amygdaloid nucleus (Amygdaloid complex; basolateral nuclear group); CEN = Central amygdaloid nucleus (Amygdaloid complex; central nuclear group); CMN = Corticomedial amygdaloid nuclear complex (Amygdaloid complex; corticomedial nuclear group); CoA = Anterior cortical amygdaloid nucleus (Corticomedial nuclear group of amygdala); La = Lateral amygdaloid nucleus (Amygdaloid complex; basolateral nuclear group),Cerebral nuclei,Good,GREEN,High,Heiss whole amygdala; Siletti splits into 6 subnuclei. Sum or weight by subnuclear volume.,https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Brain stem nuclei,"Section heading in Heiss Table 1, not a measured aggregate region.",Brainstem aggregate,(not a measured Heiss data row),"No Siletti acronym: Heiss row is a section heading, not a measured region.",---,Header/Do not use,RED,Not applicable,"Do not use in regression. In Heiss Table 1, Brain stem nuclei is a section heading, not a measured aggregate. Use only the individually measured rows: colliculus inferior, colliculus superior, substantia nigra, and nucleus ruber.",https://pubmed.ncbi.nlm.nih.gov/15534048/
Colliculus inferior,Inferior colliculus of the midbrain tectum.,Brainstem (midbrain),Human IC,IC = Inferior colliculus (Midbrain tectum; auditory midbrain),Midbrain,Good,GREEN,High,Direct 1-to-1 match.,https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Colliculus superior,Superior colliculus of the midbrain tectum.,Brainstem (midbrain),Human SC,SC = Superior colliculus (Midbrain tectum; visuomotor midbrain),Midbrain,Good,GREEN,High,Direct 1-to-1 match.,https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Substantia nigra,Substantia nigra of the midbrain.,Brainstem (midbrain),Human SN; Human SN-RN,"SN = Substantia nigra (Midbrain); SN-RN = Substantia nigra, red nucleus, and nearby nuclei (Combined midbrain dissection region)",Midbrain,Coarse-OK,YELLOW,High,"Direct SN component match, but Siletti also has a combined SN-RN row. Decompose or exclude the combined SN-RN row to avoid double-counting with nucleus ruber.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Nucleus ruber,Red nucleus of the midbrain.,Brainstem (midbrain),Human RN; Human SN-RN,"RN = Red nucleus (Midbrain); SN-RN = Substantia nigra, red nucleus, and nearby nuclei (Combined midbrain dissection region)",Midbrain,Coarse-OK,YELLOW,High,"Direct RN component match, but Siletti also has a combined SN-RN row. Decompose or exclude the combined SN-RN row to avoid double-counting with substantia nigra.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Cerebellum,"Section heading in Heiss Table 1, not a whole-cerebellum measured aggregate row.",Cerebellum (whole),(not a measured Heiss data row),"No Siletti acronym: Heiss row is a section heading, not a measured region.",---,Header/Do not use,RED,Not applicable,"Do not treat as whole cerebellum. In Heiss Table 1, Cerebellum is a section heading. The reported cerebellar rows are cerebellar cortex, vermis, and nucleus dentatus cerebelli. The abstract's cerebellum value of 29.8 matches the cerebellar cortex value, not a whole-cerebellum aggregate.",https://pubmed.ncbi.nlm.nih.gov/15534048/
Cerebellar cortex,Cerebellar cortical VOI.,Cerebellum (cortex only),Human CBL; Human CBV,"CBL = Lateral cerebellar hemisphere / cerebrocerebellum (Cerebellar cortex); CBV = Cerebellar vermis (Cerebellar cortex, medial vermal compartment)",Hindbrain (Cerebellum),Good,GREEN,High,"Heiss reports cerebellar cortex as a measured row. Match to cerebellar cortical Siletti labels CBL and CBV, excluding cerebellar deep nuclei.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Vermis,Cerebellar vermis.,Cerebellum (vermis),Human CBV,"CBV = Cerebellar vermis (Cerebellar cortex, medial vermal compartment)",Hindbrain (Cerebellum),Good,GREEN,High,Direct 1-to-1 match.,https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
Nucleus dentatus cerebelli,Dentate nucleus of the cerebellum.,Cerebellum (deep nuclei),Human CbDN,CbDN = Cerebellar deep nuclei (Cerebellar nuclear complex),Hindbrain (Cerebellum),Subset/Coarse-OK,YELLOW,High,"Heiss reports dentate nucleus specifically. Siletti CbDN is broader if it aggregates all cerebellar deep nuclei, so this is a dentate-specific subset of the Siletti deep-nuclear category unless Siletti CbDN can be decomposed.",https://pubmed.ncbi.nlm.nih.gov/15534048/; https://data.humancellatlas.org/hca-bio-networks/nervous-system/atlases/brain-v1-0; https://doi.org/10.1126/science.add7046
White matter,White-matter heading / white-matter category in Heiss Table 1.,White matter,(none in Siletti),No Siletti acronym: no corresponding Siletti region in this mapping.,---,No,GREEN,Not applicable,"Heiss reports white-matter PET values, but the Siletti region set used here has no corresponding white-matter parcel. Drop from Heiss-Siletti regression.",https://pubmed.ncbi.nlm.nih.gov/15534048/
Centrum semiovale,Centrum semiovale white matter.,White matter,(none),No Siletti acronym: no corresponding Siletti region in this mapping.,---,No,GREEN,Not applicable,White matter only. No corresponding Siletti parcel in this mapping; drop from Heiss-Siletti regression.,https://pubmed.ncbi.nlm.nih.gov/15534048/
Capsula interna,Internal capsule white matter.,White matter,(none),No Siletti acronym: no corresponding Siletti region in this mapping.,---,No,GREEN,Not applicable,White matter only. No corresponding Siletti parcel in this mapping; drop from Heiss-Siletti regression.,https://pubmed.ncbi.nlm.nih.gov/15534048/
