label,stephan_var,wide_var,unit_scale,role,model_stephan,model_wide,note
Brain weight,Brain_weight,Brain_Mass.mg,1,reference,,,merge Bauernfeind rows are in g under an .mg term -- upstream bug
Ventricles,Ventricles,Ventricles_Vol.mm3,1,reference,,,
Medulla oblongata,Medulla_oblongata,Medulla_oblongata_Vol.mm3,1,reference,,,
Diencephalon,Diencephalon,Diencephalon_Vol.mm3,1,reference,,,
Telencephalon,Telencephalon,Telencephalon_Vol.mm3,1,reference,,,
Pons,Pons,Pons_Vol.mm3,1,reference,,,
Bulbus olfactorius,Bulbus_olfactorius,Bulbus_olfactorius_Vol.mm3,1,reference,,,
Bulbus olfactorius accessorius,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,1,reference,,,
Nucleus tractus olfactorius,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius_Vol.mm3,1,reference,,,
Lobus piriformis,Lobus_piriformis,Lobus_piriformis_Vol.mm3,1,reference,,,
Septum,Septum,Septum_Vol.mm3,1,reference,,,
Schizocortex,Schizocortex,Schizo_cortex_Vol.mm3,1,reference,,,
Palaeocortex,Palaeocortex,Palaeocortex_Vol.mm3,1,reference,,,
Neocortex (grey+white),NeoWG,Neocortex_Vol.mm3,1,reference,,,
Complexus centromedialis,Complexus_centromedialis,Complexus_centromedialis_Vol.mm3,1,reference,,,
Complexus corticobasolateralis,Complexus_cortico_basolateralis,Complexus_corticobasolateralis_Vol.mm3,1,reference,,,
Nucleus amygdalae basalis,Nucleus_amygdalae_basalis_parsmagnocellularis,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,1,reference,,,
Epithalamus,Epithalamus,Epithalamus_Vol.mm3,1,reference,,,
Thalamus,Thalamus,Thalamus_Vol.mm3,1,reference,,,
Hypothalamus,Hypothalamus,Hypothalamus_Vol.mm3,1,reference,,,
Subthalamus,Subthalamus,Subthalamus_Vol.mm3,1,reference,,,
Tractus opticus,Tractus_opticus,Tractus_opticus_Vol.mm3,1,reference,,,
Cerebellar nuclei total,Cerebellar_nuclei_total,Cerebellar_nuclei_total_Vol.mm3,1,reference,,,
Interpositus cerebellar nuclei,Interpositus_cerebellar_nuclei,Interpositus_cerebellar_nuclei_Vol.mm3,1,reference,,,
Medial cerebellar nuclei,Medial_cerebellar_nuclei,Medial_cerebellar_nuclei_Vol.mm3,1,reference,,,
Complexus vestibularis,Complexus.vestibularis,Complexus_vestibularis_unilateral_Vol.mm3,1,reference,,,Stephan is UNILATERAL
N. vestibularis superior,Nucleus.vestibularis.superior,Nucleus_vestibularis_superior_unilateral_Vol.mm3,1,reference,,,Stephan is UNILATERAL
N. vestibularis lateralis,Nucleus.vestibularis.lateralis,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,1,reference,,,Stephan is UNILATERAL
N. vestibularis medialis,Nucleus.vestibularis.medialis,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,1,reference,,,Stephan is UNILATERAL
N. vestibularis descendens,Nucleus.vestibularis.descendens,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,1,reference,,,Stephan is UNILATERAL
N. septalis triangularis,Nucleus.septalis.triangularis,Nucleus_septalis_triangularis_Vol.mm3,1,reference,,,
Corpus subfornicale,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,1,reference,,,
N. habenularis medialis,Nucleus.habenularis.medialis,Nucleus_habenularis_medialis_Vol.mm3,1,reference,,,
Corpus pineale,Corpus.pineale,Corpus_pineal_Vol.mm3,1,reference,,,
Corpus subcommissurale,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,1,reference,,,
Granular insula (L),Granular_volume_L,Granular_insular_cortex_left_Vol.mm3,1,reference,,,Stephan is LEFT only
Dysgranular insula (L),Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,1,reference,,,Stephan is LEFT only
Agranular insula (L),Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,1,reference,,,Stephan is LEFT only
Fronto-insular (L),FI_volume_L,fronto_insular_cortex_left_Vol.mm3,1,reference,,,Stephan is LEFT only
Frontal motor grey,Frontal.motor.Gray,FrontalMotor_grey_matter_Vol.mm3,1000,reference,,,"Stephan in cm3, merge in mm3"
Frontal motor white,Frontal.motor,FrontalMotor_white_matter_Vol.mm3,1000,reference,,,"Stephan in cm3, merge in mm3"
